match_number,game_number,agent_a,agent_b,player_1_agent,player_2_agent,winner_player,winning_agent,turns_played,player_1_attacks,player_1_successful_attacks,player_1_armies_lost,player_1_territories_captured,player_1_decisions,player_1_decision_time,player_1_simulations,player_2_attacks,player_2_successful_attacks,player_2_armies_lost,player_2_territories_captured,player_2_decisions,player_2_decision_time,player_2_simulations
2,14,Random Agent,Heuristic Agent,Heuristic Agent,Random Agent,Player 1,Heuristic Agent,25,8,3,12,3,30,0.00010449974797666073,0,15,6,21,0,36,7.100019138306379e-05,0
2,15,Random Agent,Heuristic Agent,Random Agent,Heuristic Agent,Player 2,Heuristic Agent,38,19,7,28,3,52,0.00018079997971653938,0,16,8,18,6,46,0.000407799961976707,0
2,16,Random Agent,Heuristic Agent,Heuristic Agent,Random Agent,Player 1,Heuristic Agent,85,35,20,46,20,98,0.0005311996792443097,0,45,27,51,17,113,0.0003855001996271312,0
2,17,Random Agent,Heuristic Agent,Random Agent,Heuristic Agent,Player 1,Random Agent,55,25,20,21,7,77,0.00022759963758289814,0,11,5,36,4,61,0.0002867001458071172,0
2,18,Random Agent,Heuristic Agent,Heuristic Agent,Random Agent,Player 1,Heuristic Agent,27,18,11,16,10,36,0.00022420019377022982,0,16,9,22,7,36,0.00013369997031986713,0
2,19,Random Agent,Heuristic Agent,Random Agent,Heuristic Agent,Player 2,Heuristic Agent,58,32,13,38,10,79,0.00017699989257380366,0,27,14,30,13,66,0.00023449992295354605,0
2,20,Random Agent,Heuristic Agent,Heuristic Agent,Random Agent,Player 1,Heuristic Agent,29,10,6,16,6,35,0.0001596000511199236,0,16,10,23,3,42,0.00010880018817260861,0
3,1,Random Agent,Monte Carlo Agent,Random Agent,Monte Carlo Agent,Player 2,Monte Carlo Agent,30,14,7,24,5,43,0.0001747002243064344,0,14,11,12,8,39,0.04452929977560416,3400
3,2,Random Agent,Monte Carlo Agent,Monte Carlo Agent,Random Agent,,Draw,100,40,18,55,16,116,0.08548779971897602,7900,38,21,42,16,136,0.0007271001231856644,0
3,3,Random Agent,Monte Carlo Agent,Random Agent,Monte Carlo Agent,,Draw,100,49,27,52,21,133,0.0005309002008289099,0,50,25,55,22,111,0.07617770007345825,9900
3,4,Random Agent,Monte Carlo Agent,Monte Carlo Agent,Random Agent,,Draw,100,47,21,54,19,115,0.07393440033774823,7800,41,22,43,19,130,0.0006069002556614578,0
3,5,Random Agent,Monte Carlo Agent,Random Agent,Monte Carlo Agent,Player 1,Random Agent,59,28,19,25,15,76,0.00037659978261217475,0,29,12,38,12,63,0.04926619993057102,6300
3,6,Random Agent,Monte Carlo Agent,Monte Carlo Agent,Random Agent,,Draw,100,49,19,51,17,116,0.057463099830783904,8200,41,19,48,16,121,0.00039199995808303356,0
3,7,Random Agent,Monte Carlo Agent,Random Agent,Monte Carlo Agent,Player 2,Monte Carlo Agent,24,16,6,21,3,35,0.0001308001228608191,0,10,6,12,6,25,0.011793500278145075,1500
3,8,Random Agent,Monte Carlo Agent,Monte Carlo Agent,Random Agent,Player 2,Random Agent,72,35,16,45,15,85,0.061164600076153874,7500,30,22,29,18,87,0.0003885998157784343,0
3,9,Random Agent,Monte Carlo Agent,Random Agent,Monte Carlo Agent,,Draw,100,54,30,56,27,141,0.0006336001679301262,0,52,29,55,28,111,0.07614719995763153,8700
3,10,Random Agent,Monte Carlo Agent,Monte Carlo Agent,Random Agent,Player 1,Monte Carlo Agent,17,10,9,8,8,23,0.030311600014101714,2000,11,6,17,5,23,0.0001556000206619501,0
